Number,Name,Position,Age,Height,Weight,Experience,College,Team,Side,Salary,Salary in Milions
63,Corey Linsley,C,26,75,301,4,Ohio State,Packers,Offense,1797000,1.797
68,Justin Britt,C,26,78,315,4,Missouri,Seahawks,Offense,891400,0.8914
74,Chris Hubbard,C,26,76,295,4,UAB,Steelers,Offense,1797000,1.797
64,JC Tretter,C,26,76,307,5,Cornell,Browns,Offense,NA,NA
72,Travis Frederick,C,26,76,320,5,Wisconsin,Cowboys,Offense,1296000,1.296
61,Luke Bowanko,C,26,78,300,5,Virginia,Ravens,Offense,690000,0.69
62,Brian Schwenke,C,26,75,318,5,California,Titans,Offense,775000,0.775
29,Ronald Zamort,CB,26,70,174,1,Western Michigan,Cardinals,Defense,NA,NA
32,Troy Hill,CB,26,71,184,2,Oregon,Rams,Defense,542647,0.542647
37,Greg Ducre,CB,26,70,183,2,Washington,Steelers,Defense,NA,NA
24,K'Waun Williams,CB,26,69,183,3,Pittsburgh,49ers,Defense,615000,0.615
37,Bryce Callahan,CB,26,69,188,3,Rice,Bears,Defense,615000,0.615
40,Keith Reaser,CB,26,73,190,3,Florida Atlantic,Chiefs,Defense,121765,0.121765
23,Dexter McDonald,CB,26,73,200,3,Kansas,Raiders,Defense,615000,0.615
25,Jimmie Ward,CB,26,71,193,4,Northern Illinois,49ers,Defense,690000,0.69
36,Dontae Johnson,CB,26,74,200,4,NC State,49ers,Defense,690000,0.69
21,Darqueze Dennard,CB,26,71,205,4,Michigan State,Bengals,Defense,988032,0.988032
22,Jason Verrett,CB,26,70,188,4,TCU,Chargers,Defense,860000,0.86
23,Phillip Gaines,CB,26,73,193,4,Rice,Chiefs,Defense,700000,0.7
23,Bene Benwikere,CB,26,73,195,4,San Jose State,Cowboys,Defense,690000,0.69
37,Ross Cockrell,CB,26,73,191,4,Duke,Giants,Defense,1000000,1
22,Aaron Colvin,CB,26,73,193,4,Oklahoma,Jaguars,Defense,1797000,1.797
24,Nevin Lawson,CB,26,69,192,4,Utah State,Lions,Defense,1797000,1.797
26,Bashaud Breeland,CB,26,71,195,4,Clemson,Redskins,Defense,1797000,1.797
40,Marcus Williams,CB,26,71,196,4,North Dakota State,Texans,Defense,2746000,2.746
21,A.J. Bouye,CB,26,73,191,5,UCF,Jaguars,Defense,3000000,3
29,David Amerson,CB,26,73,205,5,NC State,Raiders,Defense,650000,0.65
